File Server,Access Path,SID,Permissions
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\ACQUAVERDE,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\AMERICAN VINTAGE,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\BCBGeneration\CSV,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\BCBGeneration\DOC IMPORT,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\BCBGeneration\PRE FALL,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\BELLEROSE,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\BELLEROSE\DOC IMPORT,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\BRIN D'AMOUR,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\BY MALENE BIRGER\DOC IMPORT,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\CALVIN KLEIN\DOC IMPORT,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\CHEAP MONDAY,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\DIESEL,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\DIESEL\DOC IMPORT,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\ESPRIT\AJOUT AH 16,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\ESPRIT\DOC IMPORT,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\ESPRIT\VERIFIER,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\ESPRIT\VERIFIER\RAJOUT,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\GERARD DAREL,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\GERTRUDE,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\GLAMOROUS,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\HOTEL PARTICULIER\DOC IMPORT,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
